STOP_ID,STOP_TYPE,X,Y
2,1,843622,813951
3,1,843333,814109
4,1,842947,814013
5,1,842646,813814
6,1,842419,813736
7,1,842246,813653
8,1,842182,813741
9,1,842149,813996
10,1,842092,814350
11,1,842111,814519
12,1,842015,814845
13,1,841835,815086
15,1,836740,815798
16,1,836554,815722
17,1,831457,840927
18,1,836068,815612
19,1,835644,815588
20,1,831231,841090
21,1,834543,815898
22,1,834350,815826
23,1,834272,816048
24,1,834053,816219
26,1,834105,816179
27,1,834210,816042
28,1,834453,815978
30,1,835508,815645
31,1,835876,815624
32,1,836178,815914
33,1,841864,815086
35,1,842077,814745
36,1,842120,814412
40,1,842454,813774
42,1,842822,813944
43,1,842938,814035
46,1,843941,813766
48,1,842527,814357
49,1,838171,816605
50,1,838176,816468
51,1,838202,816314
53,1,838257,816249
54,1,838344,816464
55,1,838534,816486
56,1,838719,816423
57,1,838533,816074
58,1,838899,816952
59,1,838593,816885
60,1,838426,816849
61,1,838144,816768
62,1,837997,816589
63,1,837926,816216
64,1,837519,815698
66,1,836954,815055
67,1,837084,814626
68,1,836873,814582
69,1,836648,814737
74,1,842066,814511
75,1,841770,813828
79,1,840455,809885
80,1,840245,809624
82,1,840003,808944
84,1,840413,808669
87,1,840408,808664
89,1,839812,809248
90,1,840037,809489
91,1,840287,809675
93,1,841003,810754
94,1,840919,811582
95,1,842317,818753
96,1,841814,813923
97,1,842030,814469
99,1,842212,814010
100,1,841456,815393
101,1,841339,815568
102,1,841068,815761
103,1,840787,816064
104,1,840383,816178
105,1,840136,816189
106,1,839887,816206
107,1,839712,816444
108,1,839610,816779
109,1,839464,816950
110,1,839316,816998
111,1,839052,816988
112,1,838777,816927
113,1,836954,815681
116,1,836443,815498
118,1,836177,815437
119,1,835979,815415
120,1,835770,815394
121,1,835689,815400
122,1,835057,815462
124,1,833936,816300
125,1,833502,816629
127,1,833903,816342
128,1,834512,815761
129,1,834606,815696
130,1,834958,815533
131,1,835515,815439
132,1,835952,815436
133,1,836202,815464
134,1,836298,815477
135,1,836643,815593
136,1,837048,815708
137,1,837583,815779
139,1,837920,816521
140,1,838144,816797
141,1,838430,816875
142,1,838780,816951
143,1,838903,816977
144,1,839307,817023
146,1,839665,816681
147,1,839820,816304
148,1,840107,816212
149,1,840309,816209
151,1,840885,815970
152,1,841084,815772
155,1,842217,813970
156,1,842460,814004
157,1,843166,814251
159,1,843708,813805
161,1,843014,814319
163,1,833926,816392
166,1,842849,815253
167,1,842716,815421
169,1,841886,815765
170,1,841894,815555
171,1,841899,815422
172,1,841862,815251
173,1,840926,815874
174,1,840890,816049
175,1,841067,816147
176,1,841074,816036
178,1,838672,816950
179,1,838824,817153
180,1,840458,816272
181,1,840970,815943
182,1,841852,815238
183,1,841886,815478
185,1,841886,815796
187,1,842109,815991
188,1,842901,815158
190,1,842760,814619
193,1,835646,819170
194,1,835605,819401
197,1,835121,820596
199,1,834678,821204
203,1,834518,821334
204,1,834324,821654
205,1,834301,821806
206,1,834566,821817
207,1,834659,821424
208,1,834829,821264
209,1,835033,821091
210,1,835182,820969
211,1,835378,820715
212,1,835419,820487
214,1,835626,819406
216,1,835700,818992
219,1,836652,818079
220,1,837237,816134
221,1,837734,816322
222,1,837996,816726
223,1,838129,816883
228,1,838246,816809
230,1,836492,815437
231,1,836189,815327
232,1,835728,815508
233,1,835144,815556
234,1,836064,815391
235,1,836292,815366
236,1,836501,815449
237,1,836801,815358
238,1,837047,815413
240,1,834528,816347
241,1,834511,816209
244,1,834570,815420
245,1,834272,815291
246,1,833932,815614
247,1,833693,815831
248,1,833436,816000
249,1,833286,816027
250,1,833382,815997
252,1,833572,815779
253,1,833835,815532
254,1,834007,815242
255,1,834292,815406
256,1,834495,815491
257,1,834437,815669
258,1,834268,815892
259,1,834501,816238
261,1,834125,815841
262,1,833930,815954
263,1,833939,815896
264,1,833971,815683
265,1,832968,816215
266,1,832905,816142
267,1,832829,816113
268,1,832983,816170
269,1,833170,815966
270,1,833244,815926
271,1,833558,815744
274,1,835989,816137
276,1,836751,815638
277,1,837142,815686
279,1,837660,815504
280,1,837992,815357
282,1,838031,815887
283,1,838143,816113
284,1,838095,816208
285,1,838228,816499
286,1,838437,816583
287,1,838660,816583
288,1,838908,816647
289,1,838612,816266
291,1,838599,816248
292,1,838548,816462
293,1,838382,816481
294,1,838321,816399
295,1,838234,816214
296,1,838179,816503
297,1,837735,816061
300,1,837994,815807
301,1,837997,815555
304,1,837697,815460
306,1,832399,813206
307,1,832242,813359
308,1,832243,813018
309,1,832551,812615
310,1,833337,812297
312,1,834349,812084
313,1,834784,812219
315,1,836149,812357
316,1,836617,815262
318,1,835455,815421
319,1,834749,815623
320,1,834090,816113
321,1,833903,816159
322,1,833627,816174
323,1,833405,816344
324,1,833015,816415
325,1,832755,816438
326,1,832628,816446
327,1,832463,816288
328,1,832016,816082
329,1,831785,816096
330,1,831678,815866
331,1,831554,815489
332,1,831467,814960
334,1,831503,814533
335,1,831695,814234
336,1,831822,813949
337,1,832020,813745
338,1,832109,813547
340,1,832308,812997
341,1,832074,813525
343,1,831776,813980
344,1,831639,814277
345,1,831507,814463
346,1,831426,815011
347,1,831534,815497
348,1,831673,815920
349,1,831743,816083
350,1,831934,816163
351,1,832308,816266
352,1,832424,816369
353,1,832509,816566
354,1,832646,816570
355,1,832883,816562
356,1,833118,816546
359,1,834216,816529
360,1,834549,816423
362,1,835776,815299
364,1,836256,815346
365,1,836651,815181
366,1,836121,812332
369,1,834849,812181
371,1,834067,812035
372,1,833753,812133
375,1,832217,813023
377,1,832451,816153
378,1,832597,816220
379,1,833959,816435
380,1,832693,816173
381,1,832324,816133
382,1,831820,816389
384,1,831882,816481
385,1,832179,816467
388,1,834528,815850
389,1,835664,815426
392,1,831505,816084
393,1,831204,815956
394,1,830926,815909
395,1,830685,815906
396,1,830929,815925
398,1,831455,816162
399,1,831546,816244
400,1,831642,816380
401,1,834853,815649
403,1,840368,808199
406,1,840122,809573
407,1,839531,809430
408,1,838976,809685
409,1,838621,810750
411,1,838154,811089
412,1,837896,810961
413,1,837563,810986
416,1,836372,811920
417,1,836192,812151
418,1,836447,815102
419,1,836206,815108
420,1,835829,815076
422,1,835381,815372
425,1,835343,815417
426,1,835579,815250
427,1,835733,815147
429,1,836267,815147
430,1,836212,812208
431,1,836459,811893
434,1,837584,810983
435,1,837930,811074
436,1,838169,811099
437,1,838522,811080
440,1,838960,809774
441,1,839614,809608
443,1,839931,809565
444,1,840070,809565
446,1,839863,809163
448,1,840374,808204
449,1,833595,811729
450,1,834030,811615
451,1,834181,811654
452,1,834169,811633
453,1,834014,811584
454,1,833471,811704
457,1,833413,811575
458,1,833194,811602
462,1,834442,812085
467,1,834927,815647
468,1,835073,815529
469,1,836724,815502
471,1,833052,816228
472,1,833235,816085
473,1,833382,816029
474,1,833589,815947
475,1,833886,812340
476,1,834094,812205
481,1,837646,815572
482,1,834318,811455
483,1,834154,811330
484,1,833993,811413
486,1,836576,815179
487,1,835967,812090
489,1,832134,812792
490,1,832054,812666
491,1,832110,812489
493,1,835581,812384
495,1,832311,812547
496,1,832193,812461
497,1,832055,812580
498,1,832026,812737
499,1,832077,812563
501,1,832243,813366
502,1,832460,813137
503,1,832460,812947
505,1,834050,812084
506,1,834156,816205
507,1,833231,816405
508,1,832936,816453
510,1,834383,816247
511,1,833216,812202
512,1,832930,812203
513,1,832486,812319
514,1,832915,812211
517,1,815901,827545
518,1,834939,815587
520,1,836536,814448
521,1,836815,814368
523,1,837822,813460
526,1,836702,812827
527,1,836036,812433
528,1,835902,812349
529,1,835314,812258
530,1,834106,812322
531,1,834179,812525
532,1,834311,812575
535,1,834192,812191
536,1,834234,812365
538,1,836016,812437
539,1,836730,812839
540,1,837104,812823
541,1,837881,813191
545,1,836791,814234
546,1,836790,814378
547,1,836586,814420
548,1,836427,814600
550,1,841571,815508
551,1,841354,815371
552,1,841388,815248
553,1,841074,815381
554,1,840737,815567
555,1,840494,815689
556,1,840672,815772
557,1,840763,815866
558,1,833430,812343
559,1,833461,812433
560,1,833253,812403
562,1,840797,815767
563,1,840684,815714
564,1,840546,815612
565,1,840841,815610
567,1,841302,815199
568,1,841329,815396
571,1,837354,814226
572,1,837259,814382
573,1,837087,814454
582,1,837823,815105
583,1,837774,815338
585,1,838159,815260
586,1,837143,815661
587,1,836305,815454
588,1,834184,816170
589,1,834351,815852
591,1,837960,815201
592,1,837809,815195
593,1,837874,815063
594,1,837923,814972
595,1,838045,814974
597,1,838010,814846
598,1,838101,814668
599,1,838084,814513
604,1,834138,815219
605,1,834240,815197
606,1,834326,815176
607,1,834453,815170
608,1,834662,815173
609,1,834442,815269
610,1,837732,815851
611,1,833832,816223
612,1,832435,816429
613,1,831987,816350
616,1,834737,815709
617,1,835963,815071
618,1,836438,815125
619,1,837506,815357
620,1,837220,815191
621,1,833654,816413
623,1,833159,816526
624,1,833031,816538
625,1,832655,816551
626,1,832273,816476
627,1,832071,816416
628,1,831619,816291
629,1,831467,816152
632,1,837628,815118
633,1,837692,816362
635,1,837836,815790
636,1,837797,815580
637,1,831718,816377
638,1,830154,815221
639,1,830142,815228
640,1,830179,815576
641,1,830350,815781
644,1,830481,815792
645,1,830277,815714
646,1,830183,815536
647,1,834658,815898
648,1,837925,812549
649,1,837769,811890
650,1,837530,811290
652,1,837701,811672
653,1,837881,812691
657,1,837937,816359
658,1,836900,815878
659,1,834043,811317
661,1,837845,816274
662,1,837824,814941
663,1,837851,814809
664,1,837769,814664
665,1,837614,814385
666,1,837688,814113
667,1,837663,813748
668,1,831961,812748
670,1,837687,813760
672,1,838366,816988
673,1,832826,816164
674,1,833911,815694
675,1,834406,815831
677,1,830421,814903
678,1,830801,814841
679,1,831052,814931
681,1,830978,814589
682,1,831141,814380
683,1,831223,814207
684,1,831381,814261
685,1,831676,813869
686,1,832073,812905
687,1,832289,812731
688,1,831797,813451
689,1,831902,813048
691,1,831763,813673
692,1,831599,813896
694,1,831178,814272
695,1,831055,814451
696,1,830968,814614
697,1,831104,814712
698,1,830958,814889
700,1,831818,813662
703,1,836143,812225
706,1,841119,819355
707,1,840342,819666
708,1,839036,827530
709,1,838905,827432
711,1,840128,820635
712,1,840659,819577
716,1,838593,810883
718,1,836267,821930
719,1,839043,827561
721,1,838842,827696
723,1,836160,817725
724,1,835327,818303
725,1,835306,820365
726,1,835494,819389
734,1,834927,815506
736,1,838586,817033
738,1,836821,815347
739,1,832488,822005
740,1,833731,822176
741,1,834105,821866
742,1,834323,821788
743,1,834570,821478
744,1,835597,819558
745,1,835652,819264
746,1,837358,815682
747,1,841568,815782
748,1,840810,816034
749,1,839790,816299
751,1,835499,819956
752,1,835431,820306
754,1,835171,820947
756,1,834770,821282
757,1,834090,821844
758,1,833931,821979
760,1,833229,821983
768,1,836499,821851
770,1,836425,820504
773,1,836192,819280
774,1,836217,818905
775,1,836595,818610
776,1,835917,815586
777,1,834159,815542
778,1,834441,815760
779,1,836189,818962
780,1,836253,819369
781,1,836416,819814
782,1,836143,819998
783,1,836396,820504
785,1,836452,821449
786,1,836631,821667
787,1,836726,821731
788,1,836758,822098
790,1,837251,822079
793,1,837643,822908
794,1,839455,820336
